sequence,numInputPointsT,numOutputPointsT,numBitsTotalDecT,numBitsGeoEncT,numBitsRgbEncT,numBitsRefEncT,d1T,d2T,lumaT,cbT,crT,refT,encTimeT,decTimeT,bppGeo,bppRgb,bppRef,bppTotal
queen_0200,1000993,14683,19032,17792,736.0,,52.8047,56.0403,21.7797,29.6669,28.0462,,,,0.01777435,0.00073527,,0.01901312
queen_0200,1000993,60202,65904,60008,5384.0,,58.4318,62.6616,25.7088,33.3315,31.8708,,,,0.05994847,0.00537866,,0.06583862
queen_0200,1000993,245633,247312,211064,35728.0,,63.2098,69.0475,30.4401,38.0991,37.6641,,,,0.21085462,0.03569256,,0.24706666
queen_0200,1000993,557335,621840,494088,127224.0,,67.9742,73.681,34.0672,42.2116,41.6189,,,,0.49359786,0.12709779,,0.62122313
queen_0200,1000993,762959,979024,645176,333320.0,,69.7067,75.0129,36.8248,45.2716,44.6666,,,,0.64453598,0.33298934,,0.97805279
queen_0200,1000993,877650,1407304,712488,694288.0,,70.3955,75.4269,40.0614,47.4885,46.9031,,,,0.7117812,0.69359926,,1.40590793
soldier_vox10_0690,1089091,19993,28088,26912,672.0,,52.7993,55.5724,21.9561,39.9626,39.5251,,,,0.02471052,0.00061703,,0.02579032
soldier_vox10_0690,1089091,79278,97944,93120,4312.0,,58.4312,62.1772,24.477,40.686,40.9365,,,,0.0855025,0.00395927,,0.08993188
soldier_vox10_0690,1089091,302931,355336,315424,39400.0,,63.2093,68.5172,28.498,43.3571,43.7516,,,,0.28962134,0.03617696,,0.32626842
soldier_vox10_0690,1089091,646910,877184,704872,171792.0,,67.9736,73.3633,32.4697,45.8095,46.4899,,,,0.6472113,0.15773888,,0.80542765
soldier_vox10_0690,1089091,857241,1375000,913936,460544.0,,69.7013,74.8138,36.2379,47.8919,48.6393,,,,0.83917322,0.42287008,,1.26252076
soldier_vox10_0690,1089091,971102,1963504,1018616,944368.0,,70.4249,75.3755,39.612,49.7853,50.4973,,,,0.93529007,0.86711579,,1.80288332
facade_00064_vox11,4061755,16991,19944,19136,312.0,,52.843,56.0523,23.136,37.4142,40.6068,,,,0.00471126,7.681e-05,,0.00491019
facade_00064_vox11,4061755,67967,73288,70472,2320.0,,58.8329,62.4478,24.9911,39.0291,41.4823,,,,0.01735014,0.00057118,,0.01804343
facade_00064_vox11,4061755,274650,298976,272648,25832.0,,64.4607,68.8125,27.5216,40.956,42.8544,,,,0.06712566,0.00635981,,0.07360759
facade_00064_vox11,4061755,1084842,1355664,1106528,248632.0,,69.2333,74.538,30.2983,42.8701,44.6541,,,,0.27242608,0.06121295,,0.33376311
